Optimizer,LayerSize,LR,Momentum,Alpha,BaseThreshold,DynamicThreshold,Accuracy
SGD,16,2.58624e-05,0.884207,N/A,1,0,95.25
LowPassFilter,16,4.70357e-05,N/A,0.0244432,1,0,94.59
SGD,16,1.90573e-06,0.821546,N/A,1,0,92.88
LowPassFilter,16,2.82942e-05,N/A,0.151886,1,0,94.165
SGD,32,2.97705e-05,0.887341,N/A,1,0,96.82
LowPassFilter,32,6.76878e-05,N/A,0.033205,1,0,96.435
SGD,32,7.41652e-05,0.873627,N/A,1,0,96.85
LowPassFilter,32,7.9815e-05,N/A,0.12827,1,0,96.195
SGD,64,5.98436e-05,0.92512,N/A,1,0,98.085
LowPassFilter,64,4.49773e-05,N/A,0.0366124,1,0,97.335
SGD,64,8.50062e-05,0.936325,N/A,1,0,97.83
LowPassFilter,64,9.28608e-05,N/A,0.19892,1,0,97.795
